PC1.SP,PC1.PV,PC1.OP,FC3.SP,FC3.PV,FC3.OP,TI1.PV,TI2.PV,LC1.SP,LC1.PV,LC1.OP,FI1.PV,FC1.SP,FC1.PV,FC1.OP,FC2.SP,FC2.PV,FC2.OP,PI1.PV,FC4.SP,FC4.PV,FC4.OP,TI5.PV,TI4.PV,TC1.SP,TC1.PV,TC1.OP,FC6.SP,FC6.PV,FC6.OP,TI6.PV,PC2.SP,PC2.PV,PC2.OP,LC3.SP,LC3.PV,LC3.OP,FI2.PV,FC5.SP,FC5.PV,FC5.OP,FI5.PV,TI3.PV,LC2.SP,LC2.PV,LC2.OP,FC8.SP,FC8.PV,FC8.OP,FI4.PV,TC2.SP,TC2.PV,TC2.OP,TI8.PV,TI7.PV,PI2.PV,FI3.PV,FC7.SP,FC7.PV,FC7.OP,Sample Time (seconds)
3.7501,3.7946,56.361,5947.1,5966.8,23.972,82.67,62.788,54,53.754,51.153,28.192,8.2139,8.0879,21.281,2.2335,2.2224,20.778,31.613,13.3997,13.456,13.691,89.788,96.121,105.791,105.941,23.58,1854.1,1855.2,39.368,117.13,7.6,7.4933,45.111,42,41.92,61.25,14.403,4.5599,4.5474,45.556,10.4155,29.158,42.998,42.419,6.1944,0.79756,0.79906,2.7465,2.5138,63.294,63.809,10.968,89.037,91.4,1.61026,1.9336,675,682.11,60.406,20
3.7501,3.7418,56.889,5992.5,5943.8,24.205,82.67,62.788,54,54.111,49.986,30.079,8.095,8.0936,21.017,2.2369,2.2224,20.931,31.613,13.3997,13.404,13.712,89.747,95.996,105.791,105.816,23.829,1874.5,1867.5,39.622,117.083,7.6,7.4655,44.333,42,42.129,61.806,14.884,4.585,4.5711,45.667,9.1814,29.158,42.998,42.401,6.0833,0.79693,0.80131,2.6563,2.5138,63.294,63.809,10.939,88.996,91.4,1.59775,1.8971,675,683.85,60.309,20
3.7501,3.7724,56.556,5963.9,5965,24.056,82.67,62.788,54,54.077,50.236,27.317,8.1205,8.0964,21.497,2.2405,2.2197,21.125,31.613,13.3997,13.3483,13.771,89.622,95.913,105.791,105.733,23.996,1877.1,1890.1,39.389,117.036,7.6,7.4933,44.722,42,42.156,61.875,14.48,4.5933,4.5234,46.944,10.2413,29.158,42.998,42.644,6.5833,0.80218,0.79906,2.7708,2.5244,63.294,63.715,11.227,88.996,91.4,1.58837,1.9179,675,683.28,60.25,20
3.7501,3.7724,56.556,5963.9,5971.3,24.056,82.67,62.788,54,53.92,50.653,29.556,8.163,8.1077,21.896,2.2491,2.2197,21.375,31.585,13.3997,13.3943,13.726,89.663,95.871,105.791,105.691,24.08,1910.3,1915.4,39.719,117.036,7.6,7.535,45.333,42,42.511,62.778,14.25,4.61,4.5415,47.222,9.6166,29.158,42.998,42.728,6.75,0.80456,0.80131,2.8229,2.5259,63.294,63.669,11.361,88.996,91.36,1.58211,1.8891,675,688.2,60.09,20
3.7501,3.7501,56.778,5983,5973.4,24.139,82.62,62.788,54,53.813,50.986,28.247,8.1969,8.1332,22.25,2.258,2.2083,21.764,31.613,13.3997,13.404,13.736,89.622,95.871,105.791,105.69,24.084,1902.6,1897.9,40.087,117.036,7.6,7.5906,46.333,42,42.413,62.569,14.572,4.6107,4.5592,47.111,9.881,29.158,42.998,42.516,6.25,0.80981,0.80131,3.0243,2.5301,63.294,63.575,11.657,88.954,91.36,1.57898,1.895,675,680.78,60.17,20
3.7501,3.7501,56.778,5983,5962.7,24.188,82.62,62.788,54,53.865,50.819,30.242,8.1799,8.147,22.347,2.2699,2.2083,22.25,31.557,13.3997,13.3583,13.778,89.622,95.83,105.791,105.69,24.085,1864.3,1881.4,39.427,117.13,7.6,7.5767,46,42,42,61.528,15.103,4.6107,4.5651,47.222,9.7735,29.158,42.998,42.655,6.5278,0.81244,0.80131,3.25,2.5342,63.294,63.528,11.798,88.954,91.36,1.56647,1.8703,675,682.55,60.069,20
3.7501,3.7335,56.944,6009.2,5980,24.288,82.62,62.746,54,53.82,50.986,28.671,8.1884,8.1637,22.385,2.2769,2.2138,22.694,31.64,13.3997,13.3837,13.764,89.663,95.871,105.791,105.69,24.086,1879.6,1871.2,39.951,117.177,7.6,7.6017,46.5,42,42.129,61.875,14.752,4.6023,4.577,47.056,9.8227,29.158,42.998,42.474,6.1944,0.81506,0.80356,3.4896,2.5406,63.294,63.481,11.943,88.954,91.31,1.55708,1.8884,675,679.89,60.076,20
3.7501,3.7418,56.861,5990.1,5994.3,24.188,82.67,62.746,54,53.657,51.486,28.98,8.2479,8.1916,22.601,2.2941,2.2197,23.306,31.668,13.3997,13.461,13.667,89.663,95.913,105.791,105.775,23.918,1861.7,1870.3,39.542,117.224,7.6,7.6017,46.444,42,41.948,61.458,15.065,4.594,4.5829,46.833,10.1718,29.158,42.998,42.644,6.4722,0.81481,0.80131,3.7743,2.5468,63.294,63.481,11.933,88.954,91.31,1.55396,1.8634,675,676.64,60.069,20
3.7501,3.7474,56.833,5987.7,5990.1,24.222,82.67,62.705,54,53.757,51.153,29.879,8.2139,8.2111,22.434,2.306,2.2308,23.861,31.64,13.3997,13.41,13.708,89.622,95.996,105.791,105.818,23.833,1841.3,1861.3,39.212,117.224,7.6,7.6128,46.722,42,41.729,60.903,15.369,4.5857,4.5947,46.5,9.9442,29.158,42.998,42.491,6.1389,0.81744,0.80131,4.059,2.5509,63.294,63.434,12.079,88.954,91.31,1.5477,1.8964,675,682.11,59.903,20
3.7501,3.7474,56.833,5987.7,6007.2,24.163,82.71,62.746,54,54.275,49.653,28.176,8.061,8.2221,21.507,2.316,2.2422,24.375,31.696,13.3997,13.44,13.691,89.663,96.038,105.791,105.858,23.751,1849,1833.2,39.833,117.224,7.6,7.5934,46.333,42,41.816,61.111,14.774,4.5773,4.577,46.778,10.0018,29.158,42.998,42.516,6.1944,0.82019,0.80356,4.3611,2.5589,63.294,63.387,12.23,88.912,91.26,1.55396,1.8954,675,677.94,59.931,20
3.7501,3.7446,56.889,5992.5,6015.5,24.17,82.76,62.746,54,54.077,50.153,31.613,8.112,8.2253,21.212,2.3213,2.2621,24.736,31.724,13.3997,13.3583,13.75,89.663,96.038,105.791,105.857,23.752,1864.3,1866.7,39.524,117.271,7.6,7.6323,47.111,42,41.976,61.528,14.539,4.569,4.5592,47,9.6853,29.158,42.998,42.568,6.25,0.82857,0.80356,4.8854,2.5616,63.294,63.247,12.698,88.912,91.31,1.55083,1.8832,675,678.25,59.875,20
3.7501,3.7335,57,6002.1,5994.3,24.281,82.76,62.705,54,53.705,51.236,28.517,8.2564,8.2196,21.507,2.3146,2.2788,24.903,31.64,13.3997,13.3997,13.76,89.705,96.08,105.791,105.941,23.582,1856.6,1852.8,39.778,117.271,7.6,7.7074,48.722,42,41.934,61.389,15.802,4.5606,4.577,46.389,9.9914,29.158,42.998,42.485,6.0833,0.83144,0.80356,5.4375,2.5666,63.294,63.2,12.859,88.871,91.26,1.5696,1.8905,675,677.94,59.851,20
3.7501,3.7529,56.806,5985.4,5981.8,24.253,82.76,62.705,54,53.743,51.236,31.181,8.2224,8.2253,21.066,2.3146,2.2816,25.125,31.64,13.3997,13.271,13.91,89.705,96.08,105.791,105.983,23.497,1815.7,1832.9,39.115,117.365,7.6,7.7741,50.333,42,41.479,60.208,15.011,4.5516,4.5888,45.889,9.4729,29.158,42.998,42.429,5.9167,0.83732,0.80575,6.0729,2.5682,63.294,63.106,13.18,88.912,91.31,1.58211,1.9086,675,675.75,59.903,20
3.7501,3.7779,56.556,5963.9,5998.5,24.087,82.76,62.788,54,53.577,51.653,27.109,8.2649,8.2253,21.066,2.3213,2.2982,25.236,31.696,13.3997,13.343,13.941,89.788,96.163,105.791,106.066,23.327,1823.4,1812.5,39.486,117.458,7.6,7.7074,49.222,42,41.58,60.417,15.107,4.5349,4.5829,45.444,9.5874,29.158,42.998,42.537,6.1389,0.84032,0.81844,6.3993,2.5622,63.294,63.059,13.349,88.912,91.36,1.59775,1.8787,675,676.2,59.882,20
3.7501,3.7613,56.722,5978.2,5971.3,24.222,82.76,62.788,54,53.667,51.403,30.231,8.2394,8.2253,20.694,2.3182,2.301,25.333,31.696,13.3997,13.41,13.868,89.788,96.163,105.791,106.066,23.323,1831.1,1830.2,39.309,117.458,7.6,7.699,49.222,42,41.691,60.694,15.315,4.5259,4.577,45.167,10.3558,29.158,42.998,42.512,6.0833,0.84057,0.82457,6.6563,2.5541,63.294,63.059,13.362,88.954,91.36,1.61339,1.8745,675,677.08,59.847,20
3.7501,3.7585,56.75,5980.6,6007.2,24.087,82.76,62.788,54,54.021,50.403,28.402,8.1375,8.2334,20.208,2.3249,2.3038,25.472,31.696,13.3997,13.353,13.986,89.83,96.205,105.791,106.066,23.319,1836.2,1853.4,38.941,117.458,7.6,7.6907,49.222,42,41.743,60.764,14.872,4.5342,4.5829,44.944,9.94,29.158,42.998,42.589,6.1944,0.83795,0.82851,6.7917,2.5414,63.294,63.106,13.219,88.996,91.4,1.61339,1.8895,675,677.81,59.833,20
3.7501,3.7779,56.556,5963.9,5996.7,24.028,82.76,62.83,54,54.014,50.403,28.556,8.1375,8.2196,19.913,2.3146,2.3066,25.458,31.696,13.3997,13.415,13.913,89.83,96.163,105.791,105.983,23.482,1795.3,1793.9,39.194,117.411,7.6,7.6184,47.889,42,41.309,59.653,15.292,4.5419,4.6003,44.611,10.2885,29.158,42.998,42.498,6.0278,0.83532,0.83051,6.8507,2.5325,63.294,63.153,13.071,88.996,91.4,1.61026,1.8766,675,677.21,59.813,20
3.7501,3.7418,56.917,5994.9,5971.3,24.24,82.71,62.746,54,53.945,50.653,29.324,8.163,8.2277,19.524,2.316,2.301,25.528,31.668,13.3997,13.379,13.944,89.788,96.08,105.791,105.983,23.479,1826,1801.4,39.542,117.318,7.6,7.4794,45,42,41.667,60.486,14.814,4.5502,4.5651,45.333,10.1316,29.127,42.998,42.557,6.0833,0.82982,0.83051,6.7917,2.5251,63.294,63.247,12.763,88.996,91.4,1.58837,1.8853,675,676.93,59.83,20
3.7501,3.7613,56.722,5978.2,5984.2,24.139,82.71,62.746,54,53.98,50.486,28.032,8.146,8.2111,19.181,2.316,2.3121,25.5,31.668,13.3997,13.482,13.844,89.705,95.913,105.791,105.816,23.811,1864.3,1856,39.368,117.177,7.6,7.4043,43.222,42,42.101,61.528,15.021,4.5745,4.5651,45.833,9.7957,29.127,42.998,42.679,6.3056,0.82419,0.83051,6.6319,2.5208,63.294,63.34,12.451,88.996,91.36,1.57898,1.8961,675,677.52,59.764,20
3.7501,3.7668,56.639,5971,5986,24.097,82.71,62.746,54,53.799,51.153,30.561,8.2139,8.2168,18.986,2.3129,2.3232,25.417,31.613,13.3997,13.3997,13.91,89.663,95.788,105.791,105.733,23.978,1856.6,1842.7,39.639,117.036,7.6,7.4516,43.889,42,42.017,61.319,15.385,4.6086,4.5711,46.444,10.2086,29.127,42.998,42.637,6.25,0.81844,0.82851,6.4167,2.5284,63.294,63.434,12.133,88.954,91.36,1.56021,1.9075,675,675.31,59.799,20
3.7501,3.7501,56.833,5987.7,5981.8,24.205,82.71,62.746,54,53.764,51.236,29.41,8.2224,8.2168,18.722,2.3146,2.3174,25.417,31.696,13.3997,13.425,13.903,89.622,95.705,105.791,105.608,24.23,1902.6,1908.2,39.622,116.99,7.6,7.4821,44.222,42,42.479,62.569,14.773,4.6253,4.577,46.833,9.6402,29.096,42.998,42.752,6.4722,0.81544,0.83244,6.0556,2.5335,63.294,63.481,11.969,88.954,91.36,1.56021,1.8509,675,678.25,59.733,20
3.7501,3.7418,56.917,5994.9,5992.5,24.222,82.71,62.746,54,53.983,50.569,27.72,8.1545,8.2221,18.292,2.3146,2.3257,25.347,31.668,13.3997,13.343,14.007,89.58,95.621,105.791,105.525,24.399,1877.1,1862.6,40.01,116.99,7.6,7.4543,43.444,42,42.205,61.875,14.178,4.642,4.5537,48,9.9234,29.096,42.998,42.665,6.25,0.81531,0.83438,5.7049,2.5444,63.294,63.481,11.957,88.954,91.31,1.55708,1.871,675,673.96,59.806,20
3.7501,3.7529,56.806,5985.4,5977.6,24.264,82.71,62.705,54,53.945,50.653,28.756,8.163,8.2196,17.941,2.3146,2.3204,25.319,31.613,13.3997,13.42,13.906,89.538,95.58,105.791,105.525,24.403,1879.6,1879.6,39.698,116.99,7.6,7.5294,44.778,42,42.222,61.944,14.573,4.651,4.5888,47.722,9.7839,29.096,42.998,42.672,6.25,0.82082,0.83244,5.5625,2.5435,63.294,63.387,12.263,88.954,91.31,1.55083,1.9044,675,673.07,59.788,20
3.7501,3.7335,57,6002.1,5981.8,24.306,82.71,62.705,54,53.67,51.486,29.298,8.2479,8.2277,18.188,2.3129,2.3288,25.194,31.613,13.3997,13.482,13.844,89.58,95.58,105.791,105.483,24.49,1859.2,1879.2,39.271,117.036,7.6,7.5238,44.556,42,42.007,61.389,15.11,4.651,4.6176,47.333,10.2329,29.096,42.998,42.571,6.0278,0.82357,0.83244,5.4375,2.5388,63.294,63.34,12.415,88.954,91.31,1.57273,1.8321,675,673.51,59.767,20
3.7501,3.714,57.222,6021.2,5988.3,24.372,82.71,62.746,54,53.844,50.986,29.478,8.1969,8.2196,17.639,2.3146,2.3288,25.125,31.64,13.3997,13.2757,14.076,89.58,95.58,105.791,105.483,24.494,1884.7,1899.2,39.524,117.083,7.6,7.5544,45.056,42,42.299,62.083,14.29,4.6517,4.6062,47.778,9.9754,29.065,42.998,42.738,6.3611,0.82057,0.83051,5.2465,2.5384,63.294,63.387,12.255,88.912,91.31,1.55396,1.8596,675,675.6,59.733,20
3.7501,3.7335,57.028,6004.5,5981.8,24.378,82.71,62.746,54,54.101,50.236,28.23,8.1205,8.2277,16.965,2.316,2.3257,25.097,31.613,13.3997,13.435,13.955,89.622,95.663,105.791,105.566,24.331,1869.4,1879.5,39.601,117.13,7.6,7.61,46.111,42,42.101,61.667,15.192,4.644,4.6291,47.278,9.7728,29.065,42.998,42.707,6.25,0.82057,0.83051,5.0625,2.5393,63.294,63.387,12.249,88.954,91.31,1.55396,1.8999,675,675.6,59.74,20
3.7501,3.7335,57.028,6004.5,5990.1,24.354,82.71,62.746,54,53.625,51.653,29.601,8.2649,8.2196,17.042,2.3146,2.3174,25.097,31.64,13.3997,13.3837,14.01,89.622,95.746,105.791,105.607,24.253,1869.4,1853.3,40.01,117.224,7.6,7.5739,45.444,42,42.083,61.667,15.335,4.6274,4.6291,47,9.593,29.033,42.998,42.592,6.0278,0.82044,0.82851,4.9375,2.5445,63.294,63.387,12.244,88.954,91.31,1.54457,1.8822,675,676.93,59.701,20
3.7501,3.7084,57.306,6028.4,6009.2,24.396,82.71,62.705,54,53.778,51.153,28.76,8.2139,8.2334,16.712,2.3232,2.3232,25.083,31.64,13.3997,13.3737,14.045,89.622,95.83,105.791,105.649,24.171,1874.5,1857.8,40.028,117.224,7.6,7.6545,47.056,42,42.146,61.806,15.195,4.619,4.6291,46.833,9.763,29.033,42.998,42.648,6.1389,0.82032,0.82657,4.8194,2.5476,63.294,63.387,12.239,88.912,91.31,1.55083,1.8901,675,673.07,59.781,20
3.7501,3.7501,56.889,5992.5,6007.2,24.253,82.71,62.705,54,53.82,50.986,28.482,8.1969,8.2139,16.458,2.311,2.3174,25.028,31.64,13.3997,13.3377,14.111,89.663,95.871,105.791,105.732,24.006,1874.5,1882.6,39.563,117.271,7.6,7.6879,47.833,42,42.139,61.806,15.254,4.6107,4.6347,46.5,9.9678,29.033,42.998,42.662,6.0833,0.82307,0.82457,4.8021,2.5496,63.294,63.34,12.391,88.912,91.31,1.55708,1.8957,675,677.66,59.705,20
3.7501,3.7613,56.778,5987.7,6002.7,24.222,82.71,62.746,54,53.702,51.319,29.44,8.2479,8.2221,16.583,2.3182,2.3149,25.056,31.696,13.3997,13.3943,14.066,89.663,95.913,105.791,105.774,23.923,1833.6,1858.9,38.903,117.318,7.6,7.7213,48.611,42,41.674,60.625,14.717,4.5947,4.6291,46.222,9.146,29.002,42.998,42.728,6.25,0.82582,0.82657,4.7535,2.5609,63.294,63.294,12.545,88.912,91.31,1.56021,1.8665,675,682.99,59.604,20
3.7501,3.7362,57.056,6006.9,5994.3,24.281,82.71,62.705,54,54.08,50.236,29.502,8.1205,8.2196,15.705,2.306,2.3066,25.014,31.696,13.3997,13.353,14.139,89.705,95.996,105.791,105.857,23.756,1851.5,1835.7,39.736,117.411,7.6,7.7018,48.444,42,41.91,61.181,14.906,4.578,4.6347,45.611,9.3161,29.002,42.998,42.7,6.1944,0.82869,0.82851,4.7778,2.5606,63.294,63.247,12.703,88.912,91.31,1.59149,1.8828,675,678.25,59.684,20
3.7501,3.764,56.75,5980.6,5988.3,24.163,82.71,62.788,54,54.195,49.903,30.346,8.0865,8.2086,14.944,2.308,2.3149,24.972,31.696,13.3997,13.2917,14.25,89.788,96.038,105.791,105.94,23.588,1859.2,1852,39.583,117.458,7.6,7.7407,49.444,42,41.976,61.389,15.11,4.5606,4.6461,44.778,10.3218,29.002,42.998,42.797,6.3611,0.83444,0.82457,5.0625,2.5501,63.294,63.153,13.021,88.912,91.36,1.59775,1.9159,675,675.47,59.747,20
3.7501,3.764,56.75,5980.6,5981.8,24.17,82.71,62.788,54,54.299,49.569,26.734,8.0525,8.2139,14.153,2.311,2.3121,24.986,31.64,13.3997,13.404,14.198,89.788,96.08,105.791,105.941,23.584,1859.2,1865.9,39.406,117.458,7.6,7.7546,49.889,42,41.979,61.389,15.283,4.5523,4.6347,44.444,11.1213,28.971,42.998,42.835,6.4722,0.83169,0.82657,5.1285,2.5441,63.294,63.2,12.872,88.912,91.36,1.59149,1.8599,675,671.41,59.837,20
3.7501,3.7696,56.694,5975.8,5984.2,24.139,82.71,62.746,54,54.143,50.069,31.337,8.1035,8.1916,13.615,2.2974,2.3149,24.819,31.696,13.3997,13.3277,14.271,89.788,96.08,105.791,105.94,23.584,1818.3,1826.2,39.212,117.458,7.6,7.6351,47.722,42,41.556,60.278,15.657,4.5523,4.6176,44.444,10.2086,28.971,42.998,42.717,6.1944,0.82907,0.82457,5.2361,2.5392,63.294,63.247,12.721,88.954,91.36,1.58837,1.8846,675,675.75,59.74,20
3.7501,3.7418,56.972,5999.7,5988.3,24.194,82.67,62.788,54,54.257,49.736,29.197,8.0695,8.175,13.118,2.2871,2.3204,24.583,31.668,13.3997,13.3583,14.326,89.788,96.038,105.791,105.94,23.582,1808.1,1812,39.059,117.365,7.6,7.5294,45.556,42,41.465,60,15.052,4.5606,4.5947,44.944,9.4389,28.971,42.998,42.828,6.3611,0.82907,0.82457,5.3194,2.5311,63.294,63.247,12.723,88.954,91.36,1.59775,1.904,675,676.04,59.708,20
3.7501,3.7418,56.972,5999.7,5973.4,24.247,82.67,62.746,54,54.188,49.986,27.814,8.095,8.147,13.01,2.2716,2.3174,24.25,31.668,13.3997,13.425,14.253,89.747,95.955,105.791,105.815,23.83,1872,1854.2,39.601,117.224,7.6,7.4404,43.611,42,42.17,61.736,14.955,4.585,4.6062,45.111,9.7839,28.94,42.998,42.745,6.1944,0.82344,0.82257,5.3021,2.5252,63.294,63.34,12.41,88.912,91.36,1.58211,1.724,675,683.41,59.514,20
3.7501,3.7446,56.944,5985.4,5988.3,24.146,82.67,62.746,54,54.316,49.569,30.849,8.044,8.1162,12.726,2.2527,2.3149,23.778,31.64,13.3997,13.496,14.139,89.705,95.83,105.791,105.69,24.081,1892.4,1884.6,39.622,117.083,7.6,7.4516,43.556,42,42.375,62.292,15.089,4.6107,4.5829,46.056,10.0122,28.94,42.998,42.776,6.3056,0.82057,0.82257,5.2118,2.5214,63.294,63.434,12.093,88.871,91.36,1.59462,1.863,675,673.96,59.719,20
3.7501,3.7557,56.833,5987.7,5994.3,24.139,82.67,62.788,54,54.181,49.903,28.709,8.0865,8.0678,13.108,2.2197,2.3121,23.014,31.696,13.3997,13.271,14.378,89.622,95.705,105.791,105.606,24.252,1897.5,1885.9,39.854,117.036,7.6,7.4905,44.111,42,42.42,62.431,14.13,4.6274,4.5651,46.833,9.7783,28.908,42.998,42.7,6.1389,0.81756,0.82457,5.0208,2.5259,63.294,63.434,12.086,88.871,91.36,1.58524,1.9002,675,678.54,59.611,20
